Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, CIN2",1206,3,100nF,
C2,1206,1,10uf,
CIN1,CP_Elec_8x10,1,330uF,
COUT1,1206,1,1uF,
COUT2,CP_Elec_6.3x5.8,1,330uF,
D1,D_SMA,1,SS34,
IC1,ESP32C3MINI1N4X,1,ESP32-C3-MINI-1-N4X,
"J1, J2, J4",TerminalBlock_bornier-2_P5.08mm,3,Screw_Terminal_01x02,
J3,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,1,Conn_01x04_Pin,
J6,JST_EH_S3B-EH_1x03_P2.50mm_Horizontal,1,Conn_01x03_Pin,
L1,L_7.3x7.3_H4.5,1,33uH,
Q1,SOT-23,1,AO3400A,
R1,1206,1,220ohm,
"R2, R3, R4",1206,3,10k,
R5,1206,1,470ohm,
"R6, R7",1206,2,100ohm,
"S1, S2",KMR_2,2,KMR211G_LFS,
U1,TO-263-5_TabPin3,1,LM2596S-3.3,
